"Date","Amazon.River"
2000-01-01,22107
2000-02-01,29247
2000-03-01,36651
2000-04-01,34089
2000-05-01,25821
2000-06-01,18007
2000-07-01,12027
2000-08-01,7557
2000-09-01,7670
2000-10-01,5777
2000-11-01,11116
2000-12-01,17269
2001-01-01,26835
2001-02-01,36764
2001-03-01,45828
2001-04-01,41038
2001-05-01,30282
2001-06-01,21745
2001-07-01,13040
2001-08-01,8204
2001-09-01,5697
2001-10-01,6429
2001-11-01,12473
2001-12-01,18447
2002-01-01,25356
2002-02-01,31078
2002-03-01,39996
2002-04-01,35027
2002-05-01,27575
2002-06-01,20372
2002-07-01,11153
2002-08-01,7020
2002-09-01,5519
2002-10-01,6563
2002-11-01,9518
2002-12-01,16380
2003-01-01,23553
2003-02-01,32547
2003-03-01,36319
2003-04-01,37651
2003-05-01,26376
2003-06-01,18267
2003-07-01,10274
2003-08-01,6488
2003-09-01,5029
2003-10-01,6888
2003-11-01,8393
2003-12-01,14285
2004-01-01,28901
2004-02-01,32620
2004-03-01,31225
2004-04-01,31042
2004-05-01,24951
2004-06-01,15966
2004-07-01,10793
2004-08-01,7711
2004-09-01,5159
2004-10-01,5424
2004-11-01,9656
2004-12-01,16103
2005-01-01,23242
2005-02-01,27204
2005-03-01,34070
2005-04-01,31232
2005-05-01,20811
2005-06-01,15307
2005-07-01,8992
2005-08-01,4820
2005-09-01,3449
2005-10-01,4742
2005-11-01,9516
2005-12-01,16836
2006-01-01,28607
2006-02-01,40407
2006-03-01,42531
2006-04-01,42658
2006-05-01,28826
2006-06-01,18517
2006-07-01,11419
2006-08-01,6766
2006-09-01,4675
2006-10-01,6499
2006-11-01,13263
2006-12-01,19300
2007-01-01,26840
2007-02-01,30748
2007-03-01,41345
2007-04-01,43887
2007-05-01,36150
2007-06-01,23392
2007-07-01,12742
2007-08-01,8168
2007-09-01,4838
2007-10-01,5956
2007-11-01,12880
2007-12-01,22223
2008-01-01,32493
2008-02-01,42492
2008-03-01,46138
2008-04-01,47613
2008-05-01,40093
2008-06-01,28051
2008-07-01,15616
2008-08-01,10012
2008-09-01,7378
2008-10-01,8083
2008-11-01,11131
2008-12-01,13617
2009-01-01,26184
2009-02-01,31029
2009-03-01,40892
2009-04-01,42138
2009-05-01,36104
2009-06-01,27713
2009-07-01,20302
2009-08-01,13772
2009-09-01,9316
2009-10-01,10225
2009-11-01,13586
2009-12-01,23583
2010-01-01,26337
2010-02-01,34045
2010-03-01,39501
2010-04-01,38851
2010-05-01,30495
2010-06-01,21687
2010-07-01,14043
2010-08-01,8815
2010-09-01,6512
2010-10-01,7492
2010-11-01,11387
2010-12-01,17839
2011-01-01,26019
2011-02-01,34143
2011-03-01,39843
2011-04-01,39441
2011-05-01,31023
2011-06-01,21840
2011-07-01,14162
2011-08-01,8896
